GAMESTATE,HASHCODE
453,426161950
454,-848496893
455,-848496893
456,-1726953507
457,-1726953507
458,426161950
459,-848496892
460,426161950
461,-1726953505
462,426161952
463,-848496890
464,426161952
465,-848498404
466,-848496894
467,-848496893
468,-1726953507
469,-1726953507
470,426161950
471,-848496892
472,-848498410
473,-1726955023
474,426160434
475,-848498408
476,426160434
477,-848498407
478,-848498406
479,-1726955019
480,426160438
481,-1726953500
482,-848496885
483,1304618572
484,-848496884
485,1304618572
486,1304618573
487,-848496883
488,-848496882
489,-848496874
490,-1726951978
491,-1726951977
492,-1726951976
493,426163481
494,-848495361
495,426163481
496,-848495339
497,-848495338
498,-848493793
499,-1726950406
500,-1726950405
501,426165052
502,-848493790
503,426165052
504,-848495311
505,-848495310
506,-848493763
507,-1726950376
508,-1726950375
509,426165082
510,-848493760
511,-1726950373
512,426165084
513,-1726950372
514,-1726950371
515,-1726950349
516,426165108
517,-1726950348
518,-848493733
519,426160420
520,-848498422
521,426160420
522,-1726955035
523,426160422
524,-848498420
525,-848498419
526,-848498418
527,-1726955031
528,-848498416
529,-1726955029
530,426160428
531,-848498414
532,426160428
533,-1726955027
534,-848498412
535,-848498411
536,-848498410
537,1304617047
538,-848496900
539,1304617047
540,-1726953513
541,426161944
542,-848496898
543,426161944
544,-848496897
545,-848496896
546,-1726953509
547,426161948
548,-848496894
549,426161948
550,-1726953507
551,-1726953506
552,-848496891
553,-1726953504
554,426161953
555,-1726951994
556,426161953
557,426163463
558,-848495379
559,-1726951992
560,-848495377
561,-848495378
562,-1726951993
563,-1726951993
564,426163464
565,-1726951993
566,-1726951993
567,426163464
568,-848495378
569,426163464
570,-848495377
571,-848495378
572,-848495376
573,-1726951989
574,426163468
575,-848495374
576,-848495352
577,-1726951965
578,426163492
579,-1726951964
580,426163492
581,426163493
582,-848495349
583,1304620108
584,-848495348
585,1304620108
586,-848493829
587,-848492284
588,-1726948897
589,-848492282
590,-1726948895
591,426166562
592,-1726948894
593,426166563
594,-848492279
595,426166563
596,-848492278
597,-1726955035
598,-1726955034
599,426160423
600,-848498419
601,426160423
602,-1726955032
603,426160425
604,-1726955031
605,426160425
606,-848498416
607,-1726955029
608,426160428
609,-1726955028
610,426160428
611,426160429
612,-1726955027
613,426160429
614,426160430
615,-848498412
616,-1726955026
617,-1726955026
618,426160431
619,-848498411
620,-1726955024
621,426160433
622,-848498409
623,-1726953513
624,-1726953512
625,426161945
626,-848496897
627,426161945
628,-1726953510
629,426161947
630,-848496895
631,426161947
632,-1726953508
633,426161949
634,-848496893
635,426161949
636,-848496892
637,-1726953505
638,426161952
639,-848495381
640,426161952
641,-1726951994
642,426163463
643,-848495379
644,426163463
645,-848495378
646,-1726951991
647,426163466
648,-848495376
649,426163466
650,-1726951989
651,426163468
652,-848495374
653,426163468
654,-848495373
655,-848495372
656,-848495371
657,-1726951984
658,426163473
659,-848495369
660,426163473
661,-1726951982
662,426163475
663,-848495367
664,426163475
665,-1726951959
666,426163498
667,-848495323
668,426163498
669,-1726951936
670,426163521
671,-848495321
672,426163521
673,-848495320
674,-848495319
675,-848495318
676,-1726951931
677,426163526
678,-848495316
679,-848498421
680,-1726955034
681,426160423
682,-1726955033
683,426160423
684,-848498418
685,-1726955031
686,426160426
687,-848498416
688,426160426
689,-1726955029
690,-848498414
691,-1726955027
692,-848498412
693,-848498411
694,-1726955024
695,-848498409
696,-848498408
697,-848496898
698,-1726953511
699,426161946
700,-848496896
701,1304618561
702,-1726953509
703,1304618561
704,426161948
705,-1726953508
706,426161948
707,426161949
708,-848496893
709,426161949
710,-1726951997
711,426163460
712,-848495382
713,426163460
714,-1726951995
715,426163462
716,-1726951994
717,426163462
718,426163463
719,-848495379
720,-1726951992
721,426163465
722,-848495377
723,426163465
724,-1726951991
725,-1726951991
726,-1726951990
727,426163467
728,-848495375
729,426163467
730,-1726951988
731,426163469
732,-848495373
733,-1726951986
734,426163471
735,-848495371
736,426163471
737,1304620086
738,-848495370
739,1304620086
740,-1726951984
741,-1726951984
742,426163473
743,-848495348
744,426163473
745,-848495347
746,-1726951983
747,-1726951983
748,426163474
749,-848495347
750,426163474
751,-848495346
752,-848495347
753,-1726951960
754,-1726951960
755,-1726951959
756,426163498
757,-1726951958
758,426163499
759,-848495343
760,426163499
761,-1726951935
762,-1726951934
763,-1726951933
764,-1726951932
765,-848495317
766,-1726951930
767,-1726951929
768,-848498420
769,-1726955033
770,426160424
771,426160424
772,426160427
773,-1726955027
774,-848498412
775,-1726955025
776,426160432
777,-1726955024
778,426160433
779,-848498409
780,426160433
781,-1726955022
782,426160435
783,-1726955021
784,426160436
785,-1726953511
786,426160436
787,426161946
788,-848496896
789,-1726953509
790,426161948
791,-848496894
792,426161948
793,1304618563
794,-1726953507
795,426161950
796,-1726953506
797,-848495382
798,-1726951995
799,426163462
800,-1726951994
801,426163463
802,-848495379
803,426163463
804,-1726951992
805,-848495377
806,-1726951990
807,-848495375
808,1304620082
809,-1726951988
810,1304620082
811,-848495373
812,-1726951986
813,426163471
814,-848495371
815,-848495370
816,-848495369
817,-848495368
818,-848495367
819,-1726951959
820,426163498
821,-848495323
822,426163498
823,-1726951936
824,426163521
825,-848495321
826,426163521
827,-1726951934
828,426163523
829,-848495319
830,426163523
831,-1726951933
832,-1726951933
833,-1726951932
834,426163525
835,-848495317
836,426163525
837,-1726951930
838,426163527
839,-1726951929
840,-2081563253
841,-1342004064
842,-1726955034
843,-848498419
844,-848498418
845,-1726955031
846,-848498417
847,1304617040
848,-1726955030
849,1304617040
850,426160427
851,-848498415
852,426160427
853,-1726955028
854,-848498413
855,-1726955026
856,426160431
857,-1726955025
858,426160432
859,-848498410
860,426160432
861,-848498409
862,-848498408
863,-848498407
864,-1726955020
865,426160437
866,-848496896
867,-848496895
868,-1726953508
869,-1726953507
870,426161950
871,-848496892
872,-848496891
873,1304618566
874,-848496890
875,-848496889
876,-848496888
877,-848496887
878,-1726953500
879,426161957
880,-848496885
881,426161957
882,-1726951989
883,426163468
884,-848495374
885,-848495352
886,-1726951965
887,-1726950447
888,426165010
889,-1726950446
890,426165010
891,426165011
892,-1726950445
893,426165011
894,426165012
895,-848493830
896,426165012
897,-848492311
