STATCOLUMN|NAME|DEFINITION|COLUMNINDEX|TABLENUMBER|FORMATTYPE|FORMATPATTERN|STATVIEW
88|PCT|(count(k)?[statAt(-1, p)?[data[1]=2]]+count(k)?[statAt(-2, p)?[data[1]=2]]-count(e)?[statAt(-1, p)?[data[1]=2]]-count(e)?[statAt(-2, p)?[data[1]=2]])/(count([e,at,k])?[statAt(-1, p)?[data[1]=2]]+count([e,at,k])?[statAt(-2, p)?[data[1]=2]])|8|1|number|[null]|6
89|K|count(k)?[statAt(-1, p)?[data[1]=1]]+count(k)?[statAt(-2, p)?[data[1]=1]]|9|1|number|[null]|6
90|E|count(e)?[statAt(-1, p)?[data[1]=1]]+count(e)?[statAt(-2, p)?[data[1]=1]]|10|1|number|[null]|6
91|TA|count([e,at,k])?[statAt(-1, p)?[data[1]=1]]+count([e,at,k])?[statAt(-2, p)?[data[1]=1]]|11|1|number|[null]|6
92|PCT|(count(k)?[statAt(-1, p)?[data[1]=1]]+count(k)?[statAt(-2, p)?[data[1]=1]]-count(e)?[statAt(-1, p)?[data[1]=1]]-count(e)?[statAt(-2, p)?[data[1]=1]])/(count([e,at,k])?[statAt(-1, p)?[data[1]=1]]+count([e,at,k])?[statAt(-2, p)?[data[1]=1]])|12|1|number|[null]|6
93|K|count(k)?[statAt(-1, d)]+count(k)?[statAt(-2, d)]|13|1|number|[null]|6
94|E|count(e)?[statAt(-1, d)]+count(e)?[statAt(-2, d)]|14|1|number|[null]|6
95|TA|count([e,at,k])?[statAt(-1, d)]+count([e,at,k])?[statAt(-2, d)]|15|1|number|[null]|6
96|PCT|(count(k)?[statAt(-1, d)]+count(k)?[statAt(-2, d)]-count(e)?[statAt(-1, d)]-count(e)?[statAt(-2, d)])/(count([e,at,k])?[statAt(-1, d)]+count([e,at,k])?[statAt(-2, d)])|16|1|number|[null]|6
97|K|count(k)?[statAt(-1, so)]+count(k)?[statAt(-2, so)]|17|1|number|[null]|6
98|E|count(e)?[statAt(-1, so)]+count(e)?[statAt(-2, so)]|18|1|number|[null]|6
99|TA|count([e,at,k])?[statAt(-1, so)]+count([e,at,k])?[statAt(-2, so)]|19|1|number|[null]|6
100|PCT|(count(k)?[statAt(-1, so)]+count(k)?[statAt(-2, so)]-count(e)?[statAt(-1, so)]-count(e)?[statAt(-2, so)])/(count([e,at,k])?[statAt(-1, so)]+count([e,at,k])?[statAt(-2, so)])|20|1|number|[null]|6
101|K|count(k)|1|1|number|[null]|7
102|E|count(e)|2|1|number|[null]|7
103|TA|count([at,k,e])|3|1|number|[null]|7
104|PCT|(count(k)-count(e))/count([at,k,e])|4|1|number|[null]|7
105|Success|count(sideout,*)|5|1|number|[null]|7
106|Failure|count(nosideout,*)|6|1|number|[null]|7
107|PCT|count(sideout,*)/(count([sideout,nosideout],*))|7|1|percent|[null]|7
108|FBSO|count(k)?[startingState[firstAttempt]=Yes]|8|1|number|[null]|7
109|N|count(n)|21|1|number|[null]|1
110|OPK|count(opk)|5|1|number|[null]|1
111|Ast|count(a)|6|1|number|[null]|1
112|BHE|count(bhe)|12|1|number|[null]|1
113|BE|count(be)|22|1|number|[null]|1
