GAME|UUID|STARTTIME|NEXTSTATINDEX|CURRENTSTATE|OURSEASON|THEIRSEASON|TAKESTATSNOWEVENT
73|81ffa2ca-3035-4b74-b6d0-a9815326bab7||176|4706|1|23|0
74|efbc9bf6-a3a4-4745-a45e-e335618d33ae||184|4787|1|8|0
75|9d89f8a6-0a0b-42a7-9763-2ca4b9c8b7b2||150|4833|1|7|0
76|f185c001-39c2-4b55-acf9-4b305fbdae30||147|4875|1|23|0
77|aef8afdc-001a-4595-b159-06d9907a1caf||153|4924|1|19|0
78|ac4b60e6-6387-4b3b-bf63-741e4c0c1b22||196|4990|1|6|0
79|a5c3a418-5c01-459f-9fea-88462c0259e3||166|5094|1|6|0
80|3cdc5cb8-0bd4-418b-89dc-986e9dbcb288||204|5142|1|6|0
81|58a6f311-f051-422a-9c4b-24a3f1c58455||151|5182|1|11|0
82|a236983c-8644-4539-bc8c-adb7583eefd8||171|5207|1|11|0
83|26954cac-7e51-4bf0-a7b1-b48433afd97e||192|3802|1|11|0
84|47dc6f4c-1c7a-4427-acc6-0f65602d9929||157|5339|2|13|0
85|27a7fd38-efce-45d2-a8b6-5471da30599c||176|5431|2|13|0
86|9a729665-f79d-453c-8a43-90dd7507fa58||110|5469|2|13|0
87|ce6aad56-6c45-4792-a9c2-39fa4860897b||149|5521|1|13|0
89|a1a3a3d4-e980-4062-ba57-ed1bba119af4||208|5581|1|13|0
90|f9e910f3-1fd8-47f7-a346-e1e0d0a2ea3f||205|5620|1|13|0
91|16c0f5c2-ee48-442a-99fd-b0c0c506cbac||189|5701|2|12|0
92|ea1a3509-e047-42cb-9527-2500a6ca0ce4||175|5799|2|12|0
93|7d674c49-40b0-4778-9160-39e049dafba4||241|5893|1|24|0
94|c2a3010b-a779-4d58-8238-5dd030d0d98b||194|5937|1|24|0
95|76b62a5e-b366-48b1-ba5a-071003d960f2||218|5982|1|24|0
96|b4e73103-1409-40d2-8794-154dc178fd38||179|6036|1|24|0
97|d5781dc4-346f-4f26-afa0-5b2acee0d4f4||119|6069|1|24|0
98|ce88fe8b-39ed-4684-ad83-15d572eb82b2||175|6148|1|15|0
99|c1a3f437-4971-4264-a8d7-3ed81a7524c9||195|5207|1|15|0
100|f8e02976-aff6-4b39-b9c1-81bfa0186a69||211|6242|1|15|0
101|8a0d8766-31b4-43ce-931e-9c18127e70e4||202|6295|1|15|0
102|6fbe9596-ca06-4926-a011-94f082341d00||141|6340|1|13|0
103|0d8a92fc-e865-4ce5-ad73-bbf835d2817a||151|3073|1|13|0
104|53528ac4-23d2-43e4-b0f3-f75ff3a69252||161|6429|1|13|0
105|b0947ca9-faef-4c57-b5e1-955c57e4ea23||140|6462|1|23|0
