GAME|UUID|STARTTIME|NEXTSTATINDEX|CURRENTSTATE|OURSEASON|THEIRSEASON|TAKESTATSNOWEVENT
185|608e6b34-8f80-45c7-88e2-dfe91e81149a||150|10893|27|36|0
186|087260e3-c4ee-4309-ba87-a312f146c16e||208|8856|27|36|0
187|3696c1ee-3946-493c-ad29-8561d111ecd9||197|10362|27|36|0
188|03b8f42b-b57e-48ba-9fea-9d66f73f3f53||187|11012|27|36|0
189|4898fef4-6dec-45eb-a9fc-5859596a84be||163|10893|27|38|0
190|a3baf659-9d9f-471b-9676-bce03d1d713d||201|11045|27|38|0
191|1f1712b4-bd09-4827-aa8a-7659ca16e722||201|10362|27|38|0
192|7f411306-a04d-4ab9-88f2-a5b8b85bde8f||182|11062|27|38|0
193|c5eb456e-3c0e-4471-96da-2b0a88533fef||165|11084|27|40|0
194|2d04fe34-df3a-4a37-97ac-c85f363d0c13||195|7926|27|40|0
195|669c1c63-60e8-4ecf-a208-aaf64f17118c||218|8856|27|40|0
196|3bde246c-95c5-402f-b210-7580bbd02cf5||182|11084|27|44|0
197|7559f1b9-37b5-4fd7-9c33-00fb4246e88f||138|10789|27|44|0
198|06450cf6-d475-445e-9b3f-a8121d3f4b15||186|8856|27|44|0
199|8a804c5e-c650-4e0d-94f8-b2a16ba8b293||163|11211|27|45|0
200|f36dc84a-ff10-4e82-9325-4408eab17cfe||100|11229|27|45|0
201|ed4a3fac-19be-4525-872d-87440e7c11da||199|10727|27|45|0
202|e13e4ba1-adbc-4f57-91b1-c74c0629c5b3||165|11261|27|42|0
203|bf187def-925a-48f2-b90a-ebb2b60900ca||195|10727|27|42|0
204|d494b655-2668-4418-9dc9-aa019fb79a2f||140|11308|27|42|0
205|6c04e67e-aa7a-4fcb-aa12-6dadb38773fb||202|10322|27|42|0
206|ec8b8c59-de44-4898-9e82-862d065fa581||146|11045|27|46|0
207|deded8bb-4e3d-4995-b3ff-e4b2082de3db||146|11084|27|36|0
208|67b745cb-8d6d-496d-b28d-7c6605572570||179|10362|27|47|0
209|fc9b7ee2-65ad-4dab-9ce9-ce3d0cb5dd43||207|10727|27|38|0
210|a632b92a-652f-4d86-82ca-befc5d1303d6||153|11062|27|48|0
211|8712e6e1-150f-4a1e-ba76-400a05334e16||147|11407|27|48|0
212|0bae3b4d-324a-4339-b784-ee17788211e0||226|11444|27|48|0
214|7a8608e4-bda9-48b1-8df2-22daac7338dd||203|11523|49|51|0
215|645274d1-f944-422e-8b38-f07c997a898d||220|11574|49|51|0
216|8eb3ff17-72ca-464e-8989-520afdea91d7||140|11621|49|50|0
217|826897dc-43cf-450b-ae1d-8112395d9123||152|11655|49|50|0
218|9e19122a-92ba-4713-b367-8cf4b4662c04||168|2569|49|52|0
219|9ea36e8a-09e3-4007-bcdb-ee70235a5b7f||141|11757|49|52|0
220|51b4ebdf-53f9-4165-9023-0b20d0f453ec||137|11780|49|53|0
221|3ae0809f-9d68-47ee-87f1-c7da80f50348||132|11757|49|53|0
222|7588bdb1-9df4-4bd7-bb54-630b37440c6d||110|11826|49|54|0
223|32526c7d-f9a0-47e4-8810-16e8c17da72c||185|4297|49|54|0
224|f91ac69f-eae7-42ce-8f39-11c456530f64||164|11891|49|51|0
225|972768e2-5def-4e2a-8a91-fb93bcc76ff6||167|3934|49|55|0
226|0d508efc-56ec-4c7f-a06d-ee99131fe695||139|11993|49|50|0
227|c7400df1-9c4d-4e9c-a9cd-d44d009e8531||195|12084|49|56|0
228|3fa01daf-73ee-4ea6-bb6d-44d74ce16351||175|11621|49|56|0
229|35995d97-a386-4d8c-9359-0e85ed7ce1db||186|4297|49|56|0
230|34b99570-aa49-4171-88ca-741fe6bea336||216|3878|49|56|0
231|0206cab4-e0d3-4c2d-98b6-ef80fdd40342||100|12233|49|56|0
