EVENTGROUPINGATTRIBUTE|VALUE|NAME
407|Baldwin|opponent
408|Plum|Location
408|1461384000000|Start Date
408|1461430743000|Start Time
409|Plum|Location
409|1461384000000|Start Date
409|1461432103000|Start Time
410|Plum|Location
410|1461384000000|Start Date
410|Montour|opponent
411|Plum|Location
411|1461384000000|Start Date
411|1461439080000|Start Time
412|Plum|Location
412|1461384000000|Start Date
412|1461440064000|Start Time
413|Plum|Location
413|1461384000000|Start Date
413|Bethel Park |opponent
414|Plum|Location
414|1461384000000|Start Date
414|1461443199000|Start Time
415|NA|Location
415|1461643200000|Start Date
415|NA|opponent
416|NA|Location
416|1461643200000|Start Date
416|1461711911000|Start Time
417|NA|Location
417|1461643200000|Start Date
417|1461713163000|Start Time
418|NA|Location
418|1461643200000|Start Date
418|1461714935000|Start Time
419|NA|Location
419|1461643200000|Start Date
419|1461716457000|Start Time
420|FC|Location
420|1461816000000|Start Date
420|Pine Richland|opponent
421|FC|Location
421|1461816000000|Start Date
421|1461886717000|Start Time
422|FC|Location
422|1461816000000|Start Date
422|1461888343000|Start Time
423|FC|Location
423|1461816000000|Start Date
423|1461889551000|Start Time
424|FC|Location
424|1462420800000|Start Date
424|North Hills |opponent
425|FC|Location
425|1462420800000|Start Date
425|1462491339000|Start Time
426|FC|Location
426|1462420800000|Start Date
426|1462492904000|Start Time
427|FC|Location
427|1462420800000|Start Date
427|1462494181000|Start Time
428|FC|Location
428|1462420800000|Start Date
428|1462495723000|Start Time
429|Seneca Valley|Location
429|1462852800000|Start Date
429|Seneca Valley|opponent
430|Seneca Valley|Location
430|1462852800000|Start Date
430|1462922561000|Start Time
431|Seneca Valley|Location
431|1462852800000|Start Date
431|1462924277000|Start Time
432|Seneca Valley|Location
432|1462852800000|Start Date
432|1462925832000|Start Time
433|Fox Chapel|Location
433|1463112000000|Start Date
433|Bethel Park|opponent
434|Fox Chapel|Location
434|1463112000000|Start Date
434|1463174778000|Start Time
435|Fox Chapel|Location
435|1463112000000|Start Date
435|1463176079000|Start Time
436|Fox Chapel|Location
436|1463112000000|Start Date
436|1463177450000|Start Time
437|Mt. Lebonan|Location
437|Mt. Lebonan|Name
438|Mt. Lebonan|Location
438|1504324800000|Start Date
438|USC|opponent
439|Mt. Lebonan|Location
439|1504324800000|Start Date
439|1504357669000|Start Time
440|Mt. Lebonan|Location
440|1504324800000|Start Date
440|Bethel Park |opponent
441|Mt. Lebonan|Location
441|1504324800000|Start Date
441|1504359021000|Start Time
442|Mt. Lebonan|Location
442|1504324800000|Start Date
442|Mt Lebonan|opponent
443|Mt. Lebonan|Location
443|1504324800000|Start Date
443|1504362926000|Start Time
444|Mt. Lebonan|Location
444|1504324800000|Start Date
444|Seton La Salle|opponent
445|Mt. Lebonan|Location
445|1504324800000|Start Date
445|1504364677000|Start Time
446|Mt. Lebonan|Location
446|1504324800000|Start Date
446|Peters Township|opponent
447|Mt. Lebonan|Location
447|1504324800000|Start Date
447|1504368427000|Start Time
448|Mt. Lebonan|Location
448|1504324800000|Start Date
448|Penn Trafford|opponent
449|Mt. Lebonan|Location
449|1504324800000|Start Date
449|1504371254000|Start Time
450|Mt. Lebonan|Location
450|1504324800000|Start Date
450|Pine Richland|opponent
451|Mt. Lebonan|Location
451|1504324800000|Start Date
451|1504375259000|Start Time
452|Mt. Lebonan|Location
452|1504324800000|Start Date
452|Norwin|opponent
453|Mt. Lebonan|Location
453|1504324800000|Start Date
453|1504377128000|Start Time
454|Fox Chapel|Location
454|1504584000000|Start Date
454|Woodland Hillls|opponent
455|Fox Chapel|Location
455|1504584000000|Start Date
455|1504648296000|Start Time
456|Fox Chapel|Location
456|1504584000000|Start Date
456|1504649202000|Start Time
457|Fox Chapel|Location
457|1504584000000|Start Date
457|Woodland Hillls|opponent
458|Fox Chapel|Location
458|1504584000000|Start Date
458|1504651503000|Start Time
459|Fox Chapel|Location
459|1504584000000|Start Date
459|1504653262000|Start Time
460|Fox Chapel|Location
460|1504584000000|Start Date
460|1504654795000|Start Time
461|Penn Hills|Location
461|1504756800000|Start Date
461|Penn Hills|opponent
462|Penn Hills|Location
462|1504756800000|Start Date
462|1504826260000|Start Time
463|Penn Hills|Location
463|1504756800000|Start Date
463|1504828562000|Start Time
464|Penn Hills|Location
464|1504756800000|Start Date
464|1504830023000|Start Time
465|Shaler|Location
465|Shaler|Name
466|Shaler|Location
466|1504929600000|Start Date
466|Titusville|opponent
467|Shaler|Location
467|1504929600000|Start Date
467|1504961653000|Start Time
468|Shaler|Location
468|1504929600000|Start Date
468|Shaler|opponent
469|Shaler|Location
469|1504929600000|Start Date
469|1504965448000|Start Time
470|Shaler|Location
470|1504929600000|Start Date
470|Grove City|opponent
471|Shaler|Location
471|1504929600000|Start Date
471|1504969378000|Start Time
474|Shaler|Location
474|1504929600000|Start Date
474|Knoch|opponent
475|Shaler|Location
475|1504929600000|Start Date
475|1504972584000|Start Time
476|Shaler|Location
476|1504929600000|Start Date
476|Burrell|opponent
477|Shaler|Location
477|1504929600000|Start Date
477|1504976481000|Start Time
478|Shaler|Location
478|1504929600000|Start Date
478|Erie McDowell|opponent
479|Shaler|Location
479|1504929600000|Start Date
479|1504978415000|Start Time
480|Shaler|Location
480|1504929600000|Start Date
480|Knoch|opponent
481|Shaler|Location
481|1504929600000|Start Date
481|1504980554000|Start Time
482|Armstrong|Location
482|1505361600000|Start Date
482|Armstrong|opponent
483|Armstrong|Location
483|1505361600000|Start Date
483|1505426681000|Start Time
484|Armstrong|Location
484|1505361600000|Start Date
484|1505428031000|Start Time
485|Armstrong|Location
485|1505361600000|Start Date
485|1505430032000|Start Time
486|Armstrong|Location
486|1505361600000|Start Date
486|Armstrong|opponent
487|Armstrong|Location
487|1505361600000|Start Date
487|1505432653000|Start Time
488|Armstrong|Location
488|1505361600000|Start Date
488|1505434741000|Start Time
489|Armstrong|Location
489|1505361600000|Start Date
489|1505436308000|Start Time
490|Penn Trafford|Location
490|1505880000000|Start Date
490|Penn Trafford|opponent
491|Penn Trafford|Location
491|1505880000000|Start Date
491|1505949725000|Start Time
492|Penn Trafford|Location
492|1505880000000|Start Date
492|1505951123000|Start Time
493|Penn Trafford|Location
493|1505880000000|Start Date
493|1505952788000|Start Time
495|Freeport|Location
495|1505966400000|Start Date
495|Freeport|opponent
496|Freeport|Location
496|1505966400000|Start Date
496|1506035785000|Start Time
497|Freeport|Location
497|1505966400000|Start Date
497|1506037238000|Start Time
498|Freeport|Location
498|1505966400000|Start Date
498|1506038471000|Start Time
499|Fox Chapel|Location
499|1505707200000|Start Date
499|Oakland Catholic|opponent
500|Fox Chapel|Location
500|1505707200000|Start Date
500|1506208584000|Start Time
500|Oakland Catholic|opponent
501|Fox Chapel|Location
501|1505707200000|Start Date
501|1506203317000|Start Time
502|Fox Chapel|Location
502|1505707200000|Start Date
502|1506204704000|Start Time
503|Fox Chapel|Location
503|1505707200000|Start Date
503|1506205764000|Start Time
504|Plum|Location
504|1506398400000|Start Date
504|Plum|opponent
505|Plum|Location
505|1506398400000|Start Date
505|1506468405000|Start Time
506|Plum|Location
506|1506398400000|Start Date
506|1506470012000|Start Time
507|Plum|Location
507|1506398400000|Start Date
507|1506471597000|Start Time
508|Fox Chapel|Location
508|1506916800000|Start Date
508|Kiski|opponent
509|Fox Chapel|Location
509|1506916800000|Start Date
509|1506984847000|Start Time
510|Fox Chapel|Location
510|1506916800000|Start Date
510|1506987944000|Start Time
511|Fox Chapel|Location
511|1506916800000|Start Date
511|1506989464000|Start Time
512|Fox Chapel|Location
512|1506916800000|Start Date
512|1506991406000|Start Time
513|Fox Chapel|Location
513|1506916800000|Start Date
513|1506992913000|Start Time
514|Fox Chapel|Location
514|1507003200000|Start Date
514|Penn Hill|opponent
515|Fox Chapel|Location
515|1507003200000|Start Date
515|1507071535000|Start Time
516|Fox Chapel|Location
516|1507003200000|Start Date
516|1507074131000|Start Time
517|Fox Chapel|Location
517|1507003200000|Start Date
517|1507075400000|Start Time
518|Fox Chapel|Location
518|1507608000000|Start Date
518|Armstrong|opponent
519|Fox Chapel|Location
519|1507608000000|Start Date
519|1507677737000|Start Time
520|Fox Chapel|Location
520|1507608000000|Start Date
520|1507680165000|Start Time
521|Fox Chapel|Location
521|1507608000000|Start Date
521|1507681708000|Start Time
522|Oakland Catholic|Location
522|1507780800000|Start Date
522|Oakland Catholic|opponent
523|Oakland Catholic|Location
523|1507780800000|Start Date
523|1507845771000|Start Time
524|Oakland Catholic|Location
524|1507780800000|Start Date
524|1507846965000|Start Time
525|Oakland Catholic|Location
525|1507780800000|Start Date
525|Oakland Catholic|opponent
526|Oakland Catholic|Location
526|1507780800000|Start Date
526|1507850375000|Start Time
527|Oakland Catholic|Location
527|1507780800000|Start Date
527|1507853175000|Start Time
528|Oakland Catholic|Location
528|1507780800000|Start Date
528|1507855059000|Start Time
529|Oakland Catholic|Location
529|1507780800000|Start Date
529|1507856325000|Start Time
530|Fox Chapel|Location
530|1508126400000|Start Date
530|Pine Richland|opponent
531|Fox Chapel|Location
531|1508126400000|Start Date
531|1508196597000|Start Time
532|Fox Chapel|Location
532|1508126400000|Start Date
532|1508198267000|Start Time
533|Fox Chapel|Location
533|1508126400000|Start Date
533|1508199804000|Start Time
534|Kiski|Location
534|1508212800000|Start Date
534|Kiski|opponent
535|Kiski|Location
535|1508212800000|Start Date
535|1508283334000|Start Time
536|Kiski|Location
536|1508212800000|Start Date
536|1508286429000|Start Time
537|Kiski|Location
537|1508212800000|Start Date
537|1508288248000|Start Time
538|Kiski|Location
538|1508212800000|Start Date
538|1508290266000|Start Time
541|Fox Chapel|Location
541|1508385600000|Start Date
541|Plum|opponent
542|Fox Chapel|Location
542|1508385600000|Start Date
542|1508455452000|Start Time
543|Fox Chapel|Location
543|1508385600000|Start Date
543|1508457287000|Start Time
544|Fox Chapel|Location
544|1508385600000|Start Date
544|1508458601000|Start Time
545|Fox Chapel|Location
545|1508385600000|Start Date
545|1508460173000|Start Time
546|Fox Chapel|Location
546|1508385600000|Start Date
546|1508461617000|Start Time
547|NA|Location
547|NA Tournament|Name
548|NA|Location
548|1508558400000|Start Date
548|Steel Valley|opponent
549|NA|Location
549|1508558400000|Start Date
549|1508589771000|Start Time
550|NA|Location
550|1508558400000|Start Date
550|1508591011000|Start Time
551|NA|Location
551|1508558400000|Start Date
551|NA|opponent
552|NA|Location
552|1508558400000|Start Date
552|1508594738000|Start Time
553|NA|Location
553|1508558400000|Start Date
553|1508596314000|Start Time
