EVENTGROUPINGATTRIBUTE|VALUE|NAME
101|Pine Richland|Location
101|1429761600000|Start Date
101|1429833918000|Start Time
102|Plum|Location
102|Plum|Name
103|Plum|Location
103|1429934400000|Start Date
103|Central Catholic|opponent
104|Plum|Location
104|1429934400000|Start Date
104|1429965620000|Start Time
105|Plum|Location
105|1429934400000|Start Date
105|1429966618000|Start Time
106|Plum|Location
106|1429934400000|Start Date
106|Montour|opponent
107|Plum|Location
107|1429934400000|Start Date
107|1429971261000|Start Time
108|Plum|Location
108|1429934400000|Start Date
108|1429972240000|Start Time
109|Plum|Location
109|1429934400000|Start Date
109|Norwin|opponent
110|Plum|Location
110|1429934400000|Start Date
110|1429979495000|Start Time
111|Plum|Location
111|1429934400000|Start Date
111|1429980387000|Start Time
112|Plum|Location
112|1429934400000|Start Date
112|Fort LeBoeuf|opponent
113|Plum|Location
113|1429934400000|Start Date
113|1429983133000|Start Time
114|Plum|Location
114|1429934400000|Start Date
114|Plum|opponent
115|Plum|Location
115|1429934400000|Start Date
115|1429986482000|Start Time
116|Plum|Location
116|1429934400000|Start Date
116|Derry|opponent
117|Plum|Location
117|1429934400000|Start Date
117|1429991560000|Start Time
118|Plum|Location
118|1429934400000|Start Date
118|Deer Lakes|opponent
119|Plum|Location
119|1429934400000|Start Date
119|1429996006000|Start Time
120|Plum|Location
120|1429934400000|Start Date
120|Plum|opponent
121|Plum|Location
121|1429934400000|Start Date
121|1429999598000|Start Time
122|Plum|Location
122|1429934400000|Start Date
122|Butler|opponent
123|Plum|Location
123|1429934400000|Start Date
123|1430000976000|Start Time
124|FC|Location
124|1430193600000|Start Date
124|Shaler|opponent
125|FC|Location
125|1430193600000|Start Date
125|1430262998000|Start Time
126|FC|Location
126|1430193600000|Start Date
126|1430264452000|Start Time
127|FC|Location
127|1430193600000|Start Date
127|1430265734000|Start Time
128|North Hills|Location
128|1430366400000|Start Date
128|North Hills |opponent
129|North Hills|Location
129|1430366400000|Start Date
129|1430437619000|Start Time
130|North Hills|Location
130|1430366400000|Start Date
130|1430438677000|Start Time
131|North Hills|Location
131|1430366400000|Start Date
131|1430439972000|Start Time
132|USC|Location
132|1430712000000|Start Date
132|USC|opponent
133|USC|Location
133|1430712000000|Start Date
133|1430777011000|Start Time
134|USC|Location
134|1430712000000|Start Date
134|1430778121000|Start Time
135|USC|Location
135|1430712000000|Start Date
135|1430779512000|Start Time
136|USC|Location
136|1430712000000|Start Date
136|USC|opponent
137|USC|Location
137|1430712000000|Start Date
137|1430783645000|Start Time
139|USC|Location
139|1430712000000|Start Date
139|1430785046000|Start Time
140|USC|Location
140|1430712000000|Start Date
140|1430786452000|Start Time
141|FC|Location
141|1430798400000|Start Date
141|Seneca|opponent
142|FC|Location
142|1430798400000|Start Date
142|1430863108000|Start Time
143|FC|Location
143|1430798400000|Start Date
143|1430864462000|Start Time
144|FC|Location
144|1430798400000|Start Date
144|Seneca Valley|opponent
145|FC|Location
145|1430798400000|Start Date
145|1430868331000|Start Time
146|FC|Location
