STATDATA,PLAYER,NUMERICALDATA,TIME,STAT,DATAINDEX
741,7,,,895,0
742,7,,,897,0
743,,3,,897,1
744,11,,,898,0
745,2,,,899,0
746,7,,,900,0
747,5,,,901,0
748,3,,,902,0
749,2,,,904,0
750,5,,,905,0
751,3,,,906,0
752,3,,,908,0
753,,1,,908,1
754,7,,,909,0
755,2,,,911,0
756,1,,,912,0
757,7,,,913,0
758,4,,,914,0
759,2,,,915,0
760,1,,,916,0
761,2,,,917,0
762,2,,,918,0
764,1,,,923,0
765,3,,,924,0
766,5,,,925,0
767,3,,,926,0
768,2,,,927,0
769,5,,,928,0
770,3,,,929,0
771,2,,,930,0
772,1,,,931,0
773,7,,,932,0
774,2,,,934,0
775,1,,,935,0
776,7,,,936,0
777,3,,,940,0
778,5,,,943,0
779,,3,,943,1
780,4,,,944,0
781,2,,,946,0
782,4,,,947,0
783,1,,,948,0
784,7,,,949,0
785,2,,,951,0
786,4,,,952,0
787,5,,,955,0
788,,3,,955,1
789,11,,,956,0
790,2,,,958,0
791,2,,,959,0
792,7,,,962,0
793,,3,,962,1
794,1,,,963,0
795,2,,,965,0
796,7,,,966,0
797,7,,,969,0
798,1,,,970,0
799,1,,,972,0
800,2,,,973,0
801,7,,,974,0
802,,2,,974,1
803,7,,,975,0
804,2,,,977,0
805,5,,,978,0
806,4,,,979,0
807,3,,,981,0
808,,2,,981,1
809,1,,,982,0
810,2,,,983,0
811,7,,,984,0
812,,3,,984,1
813,3,,,985,0
814,2,,,986,0
815,4,,,987,0
816,3,,,988,0
817,7,,,989,0
818,,2,,989,1
819,4,,,990,0
820,2,,,991,0
821,1,,,994,0
822,3,,,997,0
823,,2,,997,1
824,3,,,998,0
825,2,,,1000,0
826,7,,,1001,0
827,,3,,1001,1
828,4,,,1002,0
829,2,,,1004,0
830,3,,,1005,0
831,3,,,1008,0
832,4,,,1009,0
833,7,,,1012,0
834,,3,,1012,1
835,4,,,1013,0
836,2,,,1015,0
837,3,,,1016,0
838,,1,,1016,1
839,4,,,1019,0
840,3,,,1021,0
841,,3,,1021,1
842,7,,,1022,0
843,2,,,1024,0
844,2,,,1025,0
845,5,,,1028,0
846,,3,,1028,1
847,11,,,1029,0
848,2,,,1031,0
849,7,,,1032,0
850,7,,,1033,0
851,11,,,1034,0
852,2,,,1036,0
853,7,,,1037,0
855,11,,,1040,0
856,1,,,1040,1
857,7,,,1042,0
858,1,,,1043,0
859,7,,,1045,0
860,,3,,1045,1
861,1,,,1046,0
862,2,,,1047,0
863,5,,,1050,0
864,3,,,1051,0
865,5,,,1054,0
866,,2,,1054,1
867,1,,,1055,0
868,2,,,1057,0
869,9,,,1058,0
870,1,,,1058,1
871,9,,,1059,0
874,7,,,1062,0
875,,2,,1062,1
876,11,,,1063,0
877,2,,,1065,0
878,3,,,1066,0
879,7,,,1068,0
880,,1,,1068,1
881,7,,,1069,0
882,2,,,1071,0
883,13,,,1072,0
884,3,,,1072,1
886,4,,,1074,0
889,13,,,1079,0
890,,3,,1079,1
891,7,,,1080,0
892,2,,,1082,0
893,2,,,1083,0
894,11,,,1084,0
895,7,,,1086,0
896,2,,,1087,0
897,9,,,1088,0
898,2,,,1089,0
899,11,,,1090,0
900,13,,,1092,0
901,,1,,1092,1
902,5,,,1093,0
903,,1,,1093,1
904,2,,,1094,0
905,1,,,1096,0
906,9,,,1096,1
907,13,,,1097,0
908,,2,,1097,1
909,7,,,1098,0
910,2,,,1100,0
911,5,,,1101,0
912,,2,,1101,1
913,11,,,1102,0
914,2,,,1104,0
915,13,,,1105,0
916,,1,,1105,1
917,1,,,1106,0
919,3,,,1109,0
920,13,,,1109,1
922,7,,,1111,0
923,2,,,1113,0
924,11,,,1115,0
925,1,,,1115,1
926,3,,,1115,2
927,4,,,1115,3
928,2,,,1115,4
929,7,,,1115,5
930,2,,,1116,0
931,7,,,1117,0
932,,0,,1117,1
933,3,,,1119,0
934,,2,,1119,1
935,11,,,1120,0
936,2,,,1121,0
937,2,,,1122,0
938,2,,,1123,0
941,7,,,1126,0
942,,3,,1126,1
943,1,,,1129,0
944,2,,,1130,0
945,7,,,1132,0
946,,3,,1132,1
947,3,,,1133,0
948,2,,,1135,0
949,5,,,1136,0
950,5,,,1139,0
951,4,,,1140,0
952,5,,,1141,0
953,3,,,1142,0
954,4,,,1142,1
955,5,,,1144,0
956,1,,,1145,0
957,7,,,1146,0
958,3,,,1147,0
959,2,,,1149,0
961,5,,,1151,0
962,5,,,1153,0
963,3,,,1154,0
964,7,,,1155,0
965,1,,,1156,0
966,2,,,1157,0
967,7,,,1158,0
968,3,,,1160,0
969,,1,,1160,1
970,3,,,1161,0
971,2,,,1163,0
972,1,,,1164,0
973,7,,,1165,0
974,10,,,1167,0
975,1,,,1167,1
976,7,,,1168,0
977,,3,,1168,1
978,2,,,1169,0
979,2,,,1170,0
980,7,,,1171,0
982,3,,,1175,0
984,3,,,1177,0
985,,3,,1177,1
986,4,,,1178,0
988,2,,,1183,0
989,2,,,1185,0
990,3,,,1186,0
991,2,,,1187,0
992,7,,,1189,0
993,,3,,1189,1
994,7,,,1190,0
995,2,,,1192,0
996,6,,,1193,0
997,11,,,1193,1
998,4,,,1194,0
999,2,,,1195,0
1001,4,,,1200,0
1002,6,,,1202,0
1003,7,,,1203,0
1004,,2,,1203,1
1005,7,,,1205,0
1006,2,,,1206,0
1007,1,,,1209,0
1008,10,,,1209,1
1009,2,,,1210,0
1010,2,,,1212,0
1011,7,,,1213,0
1012,,2,,1213,1
1013,1,,,1214,0
1014,2,,,1216,0
1015,7,,,1217,0
1016,2,,,1218,0
1017,2,,,1219,0
1018,1,,,1220,0
1019,2,,,1221,0
1020,7,,,1224,0
1021,6,,,1225,0
1022,1,,,1226,0
1023,7,,,1227,0
1024,2,,,1229,0
1025,7,,,1230,0
1026,5,,,1231,0
1027,5,,,1233,0
1028,,2,,1233,1
1029,3,,,1234,0
1030,2,,,1235,0
1031,13,,,1236,0
1032,3,,,1236,1
1033,5,,,1237,0
1034,5,,,1238,0
1035,4,,,1239,0
1036,2,,,1241,0
1037,5,,,1242,0
1038,7,,,1243,0
1039,,3,,1243,1
1040,1,,,1244,0
1041,2,,,1246,0
1042,2,,,1247,0
1043,12,,,1247,1
1044,5,,,1248,0
1045,5,,,1249,0
1046,,3,,1249,1
1047,13,,,1250,0
1048,2,,,1251,0
1049,4,,,1252,0
1050,5,,,1254,0
1051,9,,,1257,0
1052,1,,,1257,1
1053,5,,,1258,0
1054,4,,,1259,0
1055,13,,,1261,0
1056,,1,,1261,1
1057,5,,,1262,0
1058,7,,,1265,0
1059,,3,,1265,1
1060,7,,,1268,0
1061,,3,,1268,1
1062,4,,,1269,0
1063,2,,,1271,0
1064,9,,,1274,0
1065,12,,,1276,0
1066,9,,,1277,0
1067,7,,,1278,0
1068,13,,,1281,0
1069,,0,,1281,1
1070,13,,,1283,0
1071,,2,,1283,1
1072,4,,,1284,0
1073,12,,,1286,0
1074,1,,,1287,0
1075,13,,,1287,1
1076,5,,,1288,0
1077,7,,,1289,0
1078,12,,,1291,0
1079,24,,,1292,0
1080,7,,,1292,1
1081,5,,,1293,0
1082,24,,,1295,0
1083,,0,,1295,1
1084,24,,,1297,0
1085,12,,,1298,0
1086,4,,,1301,0
1087,9,,,1302,0
1088,24,,,1304,0
1089,12,,,1305,0
1090,6,,,1306,0
1091,12,,,1308,0
1092,12,,,1309,0
1093,9,,,1310,0
1094,24,,,1311,0
1095,12,,,1313,0
1096,24,,,1316,0
1097,,2,,1316,1
1098,6,,,1317,0
1099,12,,,1318,0
1100,5,,,1319,0
1101,,3,,1319,1
1102,6,,,1320,0
1103,12,,,1322,0
1104,9,,,1323,0
1105,12,,,1325,0
1107,11,,,1327,0
1108,1,,,1327,1
1109,3,,,1327,2
1110,4,,,1327,3
1111,2,,,1327,4
1112,7,,,1327,5
1113,2,,,1328,0
1114,7,,,1329,0
1115,,3,,1329,1
1116,11,,,1330,0
1117,2,,,1332,0
1118,5,,,1333,0
1119,5,,,1334,0
1120,7,,,1336,0
1121,,3,,1336,1
1122,1,,,1337,0
1123,2,,,1338,0
1124,4,,,1339,0
1125,2,,,1341,0
1126,1,,,1342,0
1127,4,,,1343,0
1128,2,,,1343,1
1129,1,,,1345,0
1130,5,,,1346,0
1131,7,,,1347,0
1132,2,,,1348,0
1133,2,,,1349,0
1134,4,,,1349,1
1135,1,,,1351,0
1136,7,,,1352,0
1137,3,,,1356,0
1138,3,,,1358,0
1139,,3,,1358,1
1140,4,,,1359,0
1141,2,,,1361,0
1142,4,,,1362,0
1143,11,,,1363,0
1144,2,,,1367,0
1145,7,,,1368,0
1146,2,,,1369,0
1147,2,,,1370,0
1148,3,,,1371,0
1149,2,,,1372,0
1150,1,,,1373,0
1151,2,,,1375,0
1153,5,,,1377,0
1154,,2,,1377,1
1155,2,,,1378,0
1156,2,,,1379,0
1157,2,,,1380,0
1158,3,,,1381,0
1159,2,,,1383,0
1160,2,,,1384,0
1161,3,,,1385,0
1162,,3,,1385,1
1163,11,,,1386,0
1164,2,,,1388,0
1165,2,,,1389,0
1166,1,,,1390,0
1167,3,,,1392,0
1168,,2,,1392,1
1169,7,,,1393,0
1170,2,,,1395,0
1171,7,,,1396,0
1172,7,,,1399,0
1173,11,,,1400,0
1174,1,,,1400,1
1176,7,,,1403,0
1177,5,,,1405,0
1178,,2,,1405,1
1179,3,,,1406,0
1180,2,,,1408,0
1182,5,,,1410,0
1183,3,,,1412,0
1184,,1,,1412,1
1185,1,,,1413,0
1186,1,,,1417,0
1187,1,,,1418,0
1188,3,,,1419,0
1189,2,,,1421,0
1190,7,,,1422,0
1191,,3,,1422,1
1194,5,,,1426,0
1195,,2,,1426,1
1196,3,,,1427,0
1198,3,,,1429,0
1199,,3,,1429,1
1200,4,,,1430,0
1202,3,,,1435,0
1203,4,,,1439,0
1204,3,,,1440,0
1205,2,,,1442,0
1206,2,,,1444,0
1207,2,,,1446,0
1209,3,,,1449,0
1210,3,,,1451,0
1211,2,,,1452,0
1212,5,,,1454,0
1213,,1,,1454,1
1214,2,,,1455,0
1215,2,,,1456,0
1216,5,,,1457,0
1217,7,,,1458,0
1218,2,,,1459,0
1219,4,,,1462,0
1220,4,,,1465,0
1221,1,,,1466,0
1222,7,,,1467,0
1223,2,,,1469,0
1224,3,,,1470,0
1225,,3,,1470,1
1226,7,,,1471,0
1227,2,,,1473,0
1228,7,,,1474,0
1229,,1,,1474,1
1230,3,,,1475,0
1231,2,,,1476,0
1232,3,,,1477,0
1233,2,,,1478,0
1234,2,,,1480,0
1235,2,,,1481,0
1236,5,,,1482,0
1237,,3,,1482,1
1238,7,,,1483,0
1239,2,,,1485,0
1240,12,,,1486,0
1241,2,,,1486,1
1242,12,,,1487,0
1244,12,,,1489,0
1245,7,,,1493,0
1246,5,,,1494,0
1247,5,,,1496,0
1248,,3,,1496,1
1249,11,,,1497,0
1250,12,,,1498,0
1251,11,,,1499,0
1252,5,,,1501,0
1253,,3,,1501,1
1254,3,,,1502,0
1255,12,,,1504,0
1256,5,,,1505,0
1257,7,,,1508,0
1258,11,,,1508,1
1259,1,,,1508,2
1260,3,,,1508,3
1261,4,,,1508,4
1262,2,,,1508,5
1263,2,,,1509,0
1264,7,,,1510,0
1265,7,,,1511,0
1266,5,,,1512,0
1267,,1,,1512,1
1268,5,,,1515,0
1269,,3,,1515,1
1270,1,,,1516,0
1271,5,,,1518,0
1272,,2,,1518,1
1273,11,,,1519,0
1274,2,,,1521,0
1275,5,,,1522,0
1276,2,,,1523,0
1277,2,,,1524,0
1278,7,,,1527,0
1279,,3,,1527,1
1280,1,,,1528,0
1281,2,,,1530,0
1282,1,,,1533,0
1283,4,,,1534,0
1284,7,,,1536,0
1285,,1,,1536,1
1286,3,,,1537,0
1287,2,,,1539,0
1288,5,,,1540,0
1289,,3,,1540,1
1290,3,,,1541,0
1291,2,,,1543,0
1292,7,,,1544,0
1293,,2,,1544,1
1294,4,,,1545,0
1295,2,,,1546,0
1296,3,,,1549,0
1297,5,,,1550,0
1298,,2,,1550,1
1299,3,,,1551,0
1300,,2,,1551,1
1301,7,,,1552,0
1302,2,,,1553,0
1303,1,,,1554,0
1304,4,,,1555,0
1305,2,,,1557,0
1308,4,,,1560,0
1309,3,,,1562,0
1310,,2,,1562,1
1311,11,,,1563,0
1312,2,,,1564,0
1313,2,,,1569,0
1314,11,,,1570,0
1315,5,,,1572,0
1316,,3,,1572,1
1317,11,,,1573,0
1318,2,,,1575,0
1319,7,,,1576,0
1320,1,,,1577,0
1321,7,,,1579,0
1322,,3,,1579,1
1323,11,,,1580,0
1324,2,,,1582,0
1325,5,,,1583,0
1326,3,,,1584,0
1327,3,,,1586,0
1328,,1,,1586,1
1331,4,,,1590,0
1332,2,,,1592,0
1333,1,,,1593,0
1334,1,,,1596,0
1335,5,,,1597,0
1336,7,,,1598,0
1337,2,,,1600,0
1338,5,,,1601,0
1339,,3,,1601,1
1340,4,,,1602,0
1341,2,,,1604,0
1342,3,,,1605,0
1343,2,,,1606,0
1344,2,,,1607,0
1345,3,,,1610,0
1346,,3,,1610,1
1347,4,,,1611,0
1348,2,,,1613,0
1350,4,,,1615,0
1351,4,,,1617,0
1352,5,,,1619,0
1353,,3,,1619,1
1354,11,,,1620,0
1355,2,,,1622,0
1356,2,,,1623,0
1357,5,,,1626,0
1358,,2,,1626,1
1359,11,,,1627,0
1360,2,,,1629,0
1362,7,,,1631,0
1363,7,,,1633,0
1364,7,,,1636,0
1365,7,,,1637,0
1366,1,,,1640,0
1367,7,,,1642,0
1368,,2,,1642,1
1369,11,,,1643,0
1370,2,,,1645,0
1371,5,,,1646,0
1372,4,,,1647,0
1373,7,,,1649,0
1374,,2,,1649,1
1375,4,,,1650,0
1376,2,,,1652,0
1377,1,,,1653,0
1378,5,,,1656,0
1379,,2,,1656,1
1380,3,,,1657,0
1381,2,,,1659,0
1382,3,,,1660,0
1383,4,,,1661,0
1384,4,,,1663,0
1385,,3,,1663,1
1386,4,,,1664,0
1387,2,,,1666,0
1389,4,,,1668,0
1390,4,,,1670,0
1391,2,,,1671,0
1392,11,,,1671,1
1393,4,,,1673,0
1394,4,,,1676,0
1395,3,,,1679,0
1396,,3,,1679,1
1397,11,,,1680,0
1398,2,,,1681,0
1399,7,,,1682,0
1400,2,,,1683,0
1401,7,,,1684,0
1402,,2,,1684,1
1403,11,,,1685,0
1404,2,,,1687,0
1405,11,,,1688,0
1406,1,,,1688,1
1407,3,,,1688,2
1408,4,,,1688,3
1409,2,,,1688,4
1410,7,,,1688,5
1411,2,,,1689,0
1412,3,,,1690,0
1413,,2,,1690,1
1416,1,,,1693,0
1417,2,,,1695,0
1418,5,,,1696,0
1419,3,,,1697,0
1420,5,,,1698,0
1421,1,,,1699,0
1422,2,,,1701,0
1423,5,,,1702,0
1424,4,,,1703,0
1425,1,,,1704,0
1426,1,,,1705,0
1427,2,,,1707,0
1430,1,,,1709,0
1432,7,,,1712,0
1433,,3,,1712,1
